Chapter,Grammar Point,Descriptive Title,Detailed Summary and Scope
20,20.1,Humble Politeness (謙譲語 - Extra-modest),"Special verbs (e.g., 申します, 参ります) used to talk modestly about oneself to show deference to the listener."
20,20.2,Humble Favor (お + Stem + する),"A pattern used when the speaker performs an action out of respect for someone else (e.g., お会いしました)."
20,20.3,Action Absence (～ないで),"Expresses doing one action ""without doing"" another (e.g., ""studied without sleeping"")."
20,20.4,Embedded Questions (か / かどうか),"Including questions within larger sentences (e.g., ""I don't know where she lives""). Uses か for question-words and かどうか for yes/no."
20,20.5,Naming (Name という Item),"Pattern for introducing a person or item by name (""an item called 'Name'"")."
20,20.6,Ease and Difficulty (～やすい / ～にくい),Adding ～やすい (easy to do) or ～にくい (hard to do) to a verb stem to create an い-adjective.
21,21.1,Passive Voice (受身形 - Passive Sentences),"Used when a ""victim"" is affected by a ""villain's"" act, often indicating annoyance or disadvantage."
21,21.2,Purposeful State (～てある),"Characterizes a state brought about on purpose by someone unnamed (e.g., ""The reservation has been made"")."
21,21.3,Occurring During (～間に),A 間に B means event B occurs while state A is in progress.
21,21.4,Manipulating Attributes (Adjective + する),"Using する with adjectives to mean ""to make something [adjective]"" (e.g., 静かにする — to keep quiet)."
21,21.5,Desiring Action from Others (～てほしい),"Expresses ""I want (someone else) to do something."" The target is marked with に."
22,22.1,Causative Control (使役形 - Causative Sentences),Expresses making or letting someone do something. る-verbs → ～させる; う-verbs → -a row + せる.
22,22.2,Favor of Permission (Causative + くれる/あげる),"Combining causative forms with giving verbs to express ""letting me do"" or ""giving the favor of allowing""."
22,22.3,Firm Command (Verb Stem + なさい),A strong instruction or command often used by parents or teachers.
22,22.4,Conditional Results (～ば),"Condition A that guarantees a good or desired result B (""If you do A, then B..."")."
22,22.5,Contrary Outcomes (～のに),"Connects two facts where the second holds true in spite of expectations (""Despite the fact X, Y"")."
22,22.6,Comparisons and Examples (～のように / ～のような),"Describes action done ""like"" something else or a noun similar to a provided example."
23,23.1,Forced Action (使役受身形 - Causative-passive),"Expresses being ""made to do"" something against one's will; often implies reluctance."
23,23.2,Concession (～ても),"Expresses ""even if"" or ""no matter how."" Used for both present and past scenarios."
23,23.3,Decisions (～ことにする),"Expresses ""decide to do..."" based on short form present tense."
23,23.4,Regular Practice (～ことにしている),Expresses doing something as a regular rule or habit.
23,23.5,Duration (～まで),"Means ""until."" The event before まで is always present affirmative."
23,23.6,Methodology (～方),"Noun-forming suffix meaning ""the way to do X."" Replaces verb stem (e.g., 泳ぎ方)."
